a	a
chi	ck i
chia	ck ia
chim	ck i M
chinh	ck U n
chiêm	ck i M
chiên	ck i NG
chiêng	ck i NG
chiêu	ck i W
chiếc	ck i K
chiếm	ck i M
chiến	ck i NG
chiếp	ck i P
chiết	ck i K
chiếu	ck i W
chiền	ck i NG
chiều	ck i W
cho	ck o
choa	ck w a
chong	ck o NGM
choàng	ck w ae NG
choáng	ck w ae NG
choãi	ck w ae Y
choét	ck w e K
choắt	ck w ae K
chu	ck u
chua	ck ua
chui	ck u Y
chum	ck U M
chung	ck u NGM
chuyên	ck w i NG
chuyến	ck w i NG
chuyền	ck w i NG
chuyển	ck w i NG
chuyện	ck w i NG
chuông	ck u NG
chuẩn	ck w A NG
chuốc	ck u K
chuối	ck u Y
chuốt	ck u K
chuồn	ck u NG
chuồng	ck u NG
chuỗi	ck u Y
chuộc	ck u K
chuộng	ck u NG
chuột	ck u K
chuỳ	ck w i
chà	ck a
chài	ck ae Y
chàm	ck ae M
chàng	ck ae NG
chào	ck ae W
chày	ck ae Y
chác	ck ae K
chái	ck ae Y
chán	ck ae NG
chánh	ck ae n
cháo	ck ae W
chát	ck ae K
cháu	ck ae W
cháy	ck ae Y
châm	ck A M
chân	ck A NG
châu	ck A W
chão	ck ae W
chè	ck e
chèn	ck e NG
chèo	ck e W
ché	ck e
chém	ck e M
chén	ck e NG
chéo	ck e W
chép	ck e P
chê	ck E
chêm	ck E M
chênh	ck oe n
chì	ck i
chìa	ck ia
chìm	ck i M
chí	ck i
chích	ck U t
chín	ck U n
chính	ck U n
chíp	ck i P
chít	ck U t
chòa	ck w a
chòi	ck o Y
chòm	ck o M
chòng	ck o NGM
chó	ck o
chóc	ck o KP
chóe	ck w e
chói	ck o Y
chóng	ck o NGM
chóp	ck o P
chót	ck o K
chôm	ck O M
chôn	ck O NM
chông	ck o NGM
chõ	ck o
chù	ck u
chùa	ck ua
chùi	ck u Y
chùm	ck U M
chùn	ck u NGM
chùng	ck u NGM
chú	ck u
chúa	ck ua
chúc	ck u KP
chúi	ck u Y
chúng	ck u NGM
chút	ck u KP
chăm	ck ae M
chăn	ck ae NG
chăng	ck ae NG
chĩa	ck ia
chơi	ck oe Y
chư	ck U
chưa	ck Ua
chưng	ck U NG
chương	ck U NG
chước	ck U K
chướng	ck U NG
chường	ck U NG
chưởng	ck U NG
chạc	ck ae K
chạm	ck ae M
chạng	ck ae NG
chạnh	ck ae n
chạo	ck ae W
chạp	ck ae P
chạy	ck ae Y
chả	ck a
chải	ck ae Y
chảnh	ck ae n
chảo	ck ae W
chảy	ck ae Y
chấm	ck A M
chấn	ck A NG
chấp	ck A P
chất	ck A K
chấy	ck A Y
chầu	ck A W
chẩn	ck A NG
chậc	ck A K
chậm	ck A M
chập	ck A P
chật	ck A K
chậu	ck A W
chắc	ck ae K
chắn	ck ae NG
chắp	ck ae P
chắt	ck ae K
chằm	ck ae M
chằn	ck ae NG
chằng	ck ae NG
chẳng	ck ae NG
chẵn	ck ae NG
chặc	ck ae K
chặn	ck ae NG
chặng	ck ae NG
chặt	ck ae K
chẹt	ck e K
chẻ	ck e
chẽ	ck e
chẽn	ck e NG
chế	ck E
chết	ck oe t
chệch	ck oe t
chỉ	ck i
chỉnh	ck U n
chị	ck i
chịch	ck U t
chịu	ck i W
chọc	ck o KP
chọi	ck o Y
chọn	ck o NG
chọt	ck o K
chỏm	ck o M
chốc	ck o KP
chối	ck O Y
chốn	ck O NM
chống	ck o NGM
chốt	ck O TP
chồi	ck O Y
chồm	ck O M
chồn	ck O NM
chồng	ck o NGM
chổi	ck O Y
chỗ	ck O
chộ	ck O
chộp	ck O P
chột	ck O TP
chớ	ck oe
chớm	ck oe M
chớp	ck oe P
chờ	ck oe
chờn	ck oe NG
chở	ck oe
chợ	ck oe
chợp	ck oe P
chợt	ck oe K
chục	ck u KP
chụm	ck U M
chụp	ck U P
chụt	ck u KP
chủ	ck u
chủng	ck u NGM
chứ	ck U
chứa	ck Ua
chức	ck U K
chứng	ck U NG
chứt	ck U K
chừ	ck U
chừa	ck Ua
chừng	ck U NG
chử	ck U
chửa	ck Ua
chửi	ck U Y
chữ	ck U
chữa	ck Ua
chững	ck U NG
chực	ck U K
co	k o
coi	k o Y
con	k o NG
cong	k o NGM
cu	k u
cua	k ua
cung	k u NGM
cuốc	k u K
cuối	k u Y
cuốn	k u NG
cuống	k u NG
cuồng	k u NG
cuộc	k u K
cuội	k u Y
cuộn	k u NG
cà	k a
cài	k ae Y
càn	k ae NG
càng	k ae NG
cành	k ae n
cào	k ae W
cày	k ae Y
cá	k a
các	k ae K
cách	k ae t
cái	k ae Y
cám	k ae M
cán	k ae NG
cáng	k ae NG
cánh	k ae n
cáo	k ae W
cáp	k ae P
cát	k ae K
cáu	k ae W
cáy	k ae Y
câm	k A M
cân	k A NG
câng	k A NG
câu	k A W
cây	k A Y
cãi	k ae Y
cò	k o
còi	k o Y
còm	k o M
còn	k o NG
còng	k o NGM
có	k o
cóc	k o KP
cói	k o Y
cóng	k o NGM
cóp	k o P
cót	k o K
cô	k O
côi	k O Y
côn	k O NM
công	k o NGM
cõi	k o Y
cõng	k o NGM
cù	k u
cùi	k u Y
cùm	k U M
cùn	k u NGM
cùng	k u NGM
cú	k u
cúc	k u KP
cúi	k u Y
cúm	k U M
cún	k u NGM
cúng	k u NGM
cúp	k U P
căm	k ae M
căn	k ae NG
căng	k ae NG
cũ	k u
cũi	k u Y
cũng	k u NGM
cơ	k oe
cơi	k oe Y
cơm	k oe M
cơn	k oe NG
cư	k U
cưa	k Ua
cưng	k U NG
cươi	k U Y
cương	k U NG
cước	k U K
cưới	k U Y
cướp	k U P
cười	k U Y
cườm	k U M
cường	k U NG
cưỡi	k U Y
cưỡng	k U NG
cược	k U K
cạ	k a
cạc	k ae K
cạch	k ae t
cạm	k ae M
cạn	k ae NG
cạnh	k ae n
cạo	k ae W
cạp	k ae P
cạy	k ae Y
cả	k a
cải	k ae Y
cảm	k ae M
cản	k ae NG
cảng	k ae NG
cảnh	k ae n
cấm	k A M
cấn	k A NG
cấp	k A P
cất	k A K
cấu	k A W
cấy	k A Y
cầm	k A M
cần	k A NG
cầu	k A W
cầy	k A Y
cẩm	k A M
cẩn	k A NG
cẩu	k A W
cận	k A NG
cập	k A P
cật	k A K
cậu	k A W
cậy	k A Y
cắc	k ae K
cắm	k ae M
cắn	k ae NG
cắp	k ae P
cắt	k ae K
cằm	k ae M
cằn	k ae NG
cẳng	k ae NG
cặc	k ae K
cặn	k ae NG
cặp	k ae P
cọ	k o
cọc	k o KP
cọng	k o NGM
cọp	k o P
cỏ	k o
cỏi	k o Y
cố	k O
cốc	k o KP
cối	k O Y
cốm	k O M
cống	k o NGM
cốp	k O P
cốt	k O TP
cồn	k O NM
cồng	k o NGM
cổ	k O
cổng	k o NGM
cỗ	k O
cỗi	k O Y
cộ	k O
cộc	k o KP
cội	k O Y
cộm	k O M
cộng	k o NGM
cột	k O TP
cớ	k oe
cớm	k oe M
cờ	k oe
cở	k oe
cởi	k oe Y
cỡ	k oe
cỡi	k oe Y
cợt	k oe K
cụ	k u
cục	k u KP
cụm	k U M
cụng	k u NGM
cụp	k U P
cụt	k u KP
củ	k u
của	k ua
củi	k u Y
củng	k u NGM
cứ	k U
cứa	k Ua
cứng	k U NG
cứt	k U K
cứu	k U W
cừu	k U W
cử	k U
cửa	k Ua
cửi	k U Y
cửu	k U W
cự	k U
cựa	k Ua
cực	k U K
cựu	k U W
da	y a
dai	y ae Y
dam	y ae M
dang	y ae NG
danh	y ae n
dao	y ae W
di	y i
dim	y i M
dinh	y U n
diêm	y i M
diếp	y i P
diết	y i K
diều	y i W
diễm	y i M
diễn	y i NG
diệc	y i K
diện	y i NG
diệp	y i P
diệt	y i K
diệu	y i W
do	y o
doanh	y w ae n
dom	y o M
don	y o NG
dong	y o NGM
doạ	y w a
du	y u
dung	y u NGM
duy	y w i
duyên	y w i NG
duyệt	y w i K
duối	y u Y
duỗi	y u Y
dà	y a
dài	y ae Y
dàn	y ae NG
dàng	y ae NG
dành	y ae n
dào	y ae W
dày	y ae Y
dái	y ae Y
dám	y ae M
dán	y ae NG
dáng	y ae NG
dát	y ae K
dâm	y A M
dân	y A NG
dâng	y A NG
dâu	y A W
dây	y A Y
dã	y a
dãi	y ae Y
dãn	y ae NG
dãy	y ae Y
dè	y e
dép	y e P
dét	y e K
dê	y E
dì	y i
dìm	y i M
dìu	y i W
dí	y i
dím	y i M
dính	y U n
dò	y o
dòm	y o M
dòng	y o NGM
dóc	y o KP
dóm	y o M
dô	y O
dông	y o NGM
dõi	y o Y
dõng	y o NGM
dù	y u
dùi	y u Y
dùm	y U M
dùng	y u NGM
dúi	y u Y
dúm	y U M
dăk	y ae K
dăm	y ae M
dĩ	y i
dĩa	y ia
dũng	y u NGM
dơ	y oe
dơi	y oe Y
dơn	y oe NG
dư	y U
dưa	y Ua
dưng	y U NG
dương	y U NG
dưới	y U Y
dường	y U NG
dưỡng	y U NG
dược	y U K
dượng	y U NG
dượt	y U K
dạ	y a
dại	y ae Y
dạn	y ae NG
dạng	y ae NG
dạo	y ae W
dạt	y ae K
dạy	y ae Y
dả	y a
dải	y ae Y
dấn	y A NG
dấu	y A W
dấy	y A Y
dầm	y A M
dần	y A NG
dầu	y A W
dẫm	y A M
dẫn	y A NG
dẫu	y A W
dậm	y A M
dập	y A P
dậu	y A W
dậy	y A Y
dắt	y ae K
dằm	y ae M
dằn	y ae NG
dằng	y ae NG
dẳng	y ae NG
dặm	y ae M
dặn	y ae NG
dẹp	y e P
dẹt	y e K
dẻ	y e
dẻo	y e W
dẽ	y e
dế	y E
dề	y E
dền	y oe n
dễ	y E
dệt	y oe t
dị	y i
dịch	y U t
dịp	y i P
dịu	y i W
dọa	y w a
dọc	y o KP
dọn	y o NG
dỏ	y o
dỏm	y o M
dốc	y o KP
dối	y O Y
dốt	y O TP
dồi	y O Y
dồn	y O NM
dỗ	y O
dỗi	y O Y
dộc	y o KP
dội	y O Y
dộng	y o NGM
dột	y O TP
dớn	y oe NG
dớp	y oe P
dớt	y oe K
dời	y oe Y
dờn	y oe NG
dở	y oe
dởm	y oe M
dỡ	y oe
dợm	y oe M
dợt	y oe K
dụ	y u
dục	y u KP
dụm	y U M
dụng	y u NGM
dụt	y u KP
dứa	y Ua
dức	y U K
dứt	y U K
dừa	y Ua
dừng	y U NG
dử	y U
dửng	y U NG
dữ	y U
dự	y U
dựa	y Ua
dựng	y U NG
e	e
em	e M
en	e NG
eo	e W
ga	ɡ a
gai	ɡ ae Y
gam	ɡ ae M
gan	ɡ ae NG
gang	ɡ ae NG
ganh	ɡ ae n
gay	ɡ ae Y
gen	ɡ e NG
ghe	ɡ e
ghen	ɡ e NG
ghi	ɡ i
ghim	ɡ i M
ghiền	ɡ i NG
ghè	ɡ e
ghèn	ɡ e NG
ghé	ɡ e
ghém	ɡ e M
ghép	ɡ e P
ghét	ɡ e K
ghê	ɡ E
ghì	ɡ i
ghìm	ɡ i M
ghẹ	ɡ e
ghẹo	ɡ e W
ghẻ	ɡ e
ghế	ɡ E
ghề	ɡ E
ghềnh	ɡ oe n
ghệ	ɡ E
ghệt	ɡ oe t
gi	y i
gia	y a
giai	y ae Y
giam	y ae M
gian	y ae NG
giang	y ae NG
giao	y ae W
gieo	y e W
gio	y o
gioan	y w ae NG
giong	y o NGM
giun	y u NGM
giuộc	y u K
già	y a
giàn	y ae NG
giàng	y ae NG
giành	y ae n
giàu	y ae W
giày	y ae Y
giá	y a
giác	y ae K
giám	y ae M
gián	y ae NG
giáng	y ae NG
giáo	y ae W
giáp	y ae P
giáy	y ae Y
giâm	y A M
giây	y A Y
giã	y a
giãi	y ae Y
giãn	y ae NG
giãy	y ae Y
gié	y e
giê	y ia
giêng	y i NG
giò	y o
giòi	y o Y
giòn	y o NG
gió	y o
gióc	y o KP
gióng	y o NGM
giông	y o NGM
giùi	y u Y
giùm	y U M
giú	y u
giúp	y U P
giăm	y ae M
giăng	y ae NG
giũ	y u
giũa	y ua
giơ	y oe
giương	y U NG
giường	y U NG
giạng	y ae NG
giạt	y ae K
giả	y a
giải	y ae Y
giảm	y ae M
giản	y ae NG
giảng	y ae NG
giảnh	y ae n
giảo	y ae W
giấc	y A K
giấm	y A M
giất	y A K
giấu	y A W
giấy	y A Y
giầm	y A M
giầu	y A W
giầy	y A Y
giẫm	y A M
giậm	y A M
giận	y A NG
giập	y A P
giật	y A K
giậu	y A W
giằm	y ae M
giặc	y ae K
giặt	y ae K
giẹp	y e P
giẻ	y e
giếm	y i M
giếng	y i NG
giết	y i K
giền	y A NG
giềng	y i NG
giễu	y E W
giọi	y o Y
giọng	y o NGM
giọt	y o K
giỏ	y o
giỏi	y o Y
giống	y o NGM
giồng	y o NGM
giỗ	y O
giội	y O Y
giới	y oe Y
giờ	y oe
giời	y oe Y
giở	y oe
giởi	y oe Y
giỡn	y oe NG
giụa	y ua
giục	y u KP
giụi	y u Y
giừ	y U
giữ	y U
giữa	y Ua
giựt	y U K
go	ɡ o
gom	ɡ o M
goá	ɡ w a
gu	ɡ u
guốc	ɡ u K
guồng	ɡ u NG
gà	ɡ a
gài	ɡ ae Y
gàn	ɡ ae NG
gàng	ɡ ae NG
gào	ɡ ae W
gàu	ɡ ae W
gác	ɡ ae K
gái	ɡ ae Y
gán	ɡ ae NG
gánh	ɡ ae n
gáo	ɡ ae W
gáp	ɡ ae P
gáy	ɡ ae Y
gân	ɡ A NG
gâu	ɡ A W
gây	ɡ A Y
gã	ɡ a
gãi	ɡ ae Y
gãy	ɡ ae Y
gì	y i
gìa	y ia
gìn	y U n
gò	ɡ o
gòn	ɡ o NG
góc	ɡ o KP
gói	ɡ o Y
góp	ɡ o P
gót	ɡ o K
gôm	ɡ O M
gôn	ɡ O NM
gông	ɡ o NGM
gõ	ɡ o
gù	ɡ u
gùi	ɡ u Y
gút	ɡ u KP
găm	ɡ ae M
găng	ɡ ae NG
gũi	ɡ u Y
gươm	ɡ U M
gương	ɡ U NG
gượm	ɡ U M
gượng	ɡ U NG
gạ	ɡ a
gạc	ɡ ae K
gạch	ɡ ae t
gạo	ɡ ae W
gạt	ɡ ae K
gả	ɡ a
gảy	ɡ ae Y
gấc	ɡ A K
gấm	ɡ A M
gấp	ɡ A P
gấu	ɡ A W
gấy	ɡ A Y
gầm	ɡ A M
gần	ɡ A NG
gầy	ɡ A Y
gẫm	ɡ A M
gẫu	ɡ A W
gập	ɡ A P
gật	ɡ A K
gậy	ɡ A Y
gắm	ɡ ae M
gắn	ɡ ae NG
gắng	ɡ ae NG
gắp	ɡ ae P
gắt	ɡ ae K
gằn	ɡ ae NG
gặm	ɡ ae M
gặng	ɡ ae NG
gặp	ɡ ae P
gặt	ɡ ae K
gỉ	y i
gọi	ɡ o Y
gọn	ɡ o NG
gọng	ɡ o NGM
gọt	ɡ o K
gỏi	ɡ o Y
gốc	ɡ o KP
gối	ɡ O Y
gốm	ɡ O M
gồ	ɡ O
gồm	ɡ O M
gồng	ɡ o NGM
gỗ	ɡ O
gộc	ɡ o KP
gội	ɡ O Y
gộp	ɡ O P
gớm	ɡ oe M
gờ	ɡ oe
gờm	ɡ oe M
gở	ɡ oe
gởi	ɡ oe Y
gỡ	ɡ oe
gợi	ɡ oe Y
gợn	ɡ oe NG
gục	ɡ u KP
gủ	ɡ u
gừng	ɡ U NG
gửi	ɡ U Y
ha	h a
hai	h ae Y
ham	h ae M
han	h ae NG
hang	h ae NG
hanh	h ae n
hao	h ae W
hay	h ae Y
hen	h e NG
heo	h e W
hi	h i
hia	h ia
hic	h U t
hiu	h i W
hiên	h i NG
hiếm	h i M
hiến	h i NG
hiếp	h i P
hiếu	h i W
hiền	h i NG
hiểm	h i M
hiển	h i NG
hiểu	h i W
hiện	h i NG
hiệp	h i P
hiệu	h i W
ho	h o
hoa	h w a
hoan	h w ae NG
hoang	h w ae NG
hoay	h w ae Y
hoen	h w e NG
hoi	h o Y
hong	h o NGM
hot	h o K
hoà	h w a
hoài	h w ae Y
hoàn	h w ae NG
hoàng	h w ae NG
hoành	h w ae n
hoá	h w a
hoãn	h w ae NG
hoè	h w e
hoạ	h w a
hoạch	h w ae t
hoại	h w ae Y
hoạn	h w ae NG
hoạt	h w ae K
hoả	h w a
hoải	h w ae Y
hoảng	h w ae NG
hoắc	h w ae K
hoắt	h w ae K
hoẵng	h w ae NG
hoặc	h w ae K
hun	h u NGM
hung	h u NGM
huy	h w i
huynh	h w U n
huyên	h w i NG
huyết	h w i K
huyền	h w i NG
huyện	h w i NG
huyệt	h w i K
huân	h w A NG
huých	h w U t
huýt	h w U t
huơ	h ua
huấn	h w A NG
huế	h w E
huề	h w E
huệ	h w E
huống	h u NG
huỳnh	h w U n
huỷ	h w i
hy	h i
hà	h a
hài	h ae Y
hàm	h ae M
hàn	h ae NG
hàng	h ae NG
hành	h ae n
hào	h ae W
hàu	h ae W
há	h a
hách	h ae t
hái	h ae Y
hán	h ae NG
háng	h ae NG
háo	h ae W
hát	h ae K
hâm	h A M
hân	h A NG
hãi	h ae Y
hãm	h ae M
hãn	h ae NG
hãng	h ae NG
hãnh	h ae n
hãy	h ae Y
hè	h e
hèm	h e M
hèn	h e NG
hé	h e
héo	h e W
hét	h e K
hên	h oe n
hình	h U n
hí	h i
hít	h U t
hò	h o
hòa	h w a
hòm	h o M
hòn	h o NG
hòng	h o NGM
hóa	h w a
hóc	h o KP
hói	h o Y
hóng	h o NGM
hóp	h o P
hót	h o K
hô	h O
hôi	h O Y
hôm	h O M
hôn	h O NM
hông	h o NGM
hù	h u
hùa	h ua
hùm	h U M
hùng	h u NGM
hú	h u
húc	h u KP
húng	h u NGM
húp	h U P
hút	h u KP
hăm	h ae M
hăng	h ae NG
hĩm	h i M
hũ	h u
hơ	h oe
hơi	h oe Y
hơn	h oe NG
hư	h U
hưng	h U NG
hưu	h U W
hương	h U NG
hươu	h U W
hước	h U K
hướng	h U NG
hường	h U NG
hưởng	h U NG
hạ	h a
hạc	h ae K
hạch	h ae t
hại	h ae Y
hạm	h ae M
hạn	h ae NG
hạng	h ae NG
hạnh	h ae n
hạo	h ae W
hạp	h ae P
hạt	h ae K
hả	h a
hải	h ae Y
hảo	h ae W
hấp	h A P
hất	h A K
hấu	h A W
hầm	h A M
hầu	h A W
hẩy	h A Y
hẫng	h A NG
hận	h A NG
hậu	h A W
hắc	h ae K
hắn	h ae NG
hắt	h ae K
hằng	h ae NG
hẳn	h ae NG
hẳng	h ae NG
hẵng	h ae NG
hẹ	h e
hẹn	h e NG
hẹp	h e P
hẻm	h e M
hếch	h oe t
hến	h oe n
hết	h oe t
hề	h E
hển	h oe n
hễ	h E
hệ	h E
hệch	h oe t
hệt	h oe t
hỉ	h i
hịch	h U t
họ	h o
họa	h w a
học	h o KP
họng	h o NGM
họp	h o P
hỏ	h o
hỏa	h w a
hỏi	h o Y
hỏn	h o NG
hỏng	h o NGM
hố	h O
hốc	h o KP
hối	h O Y
hống	h o NGM
hốt	h O TP
hồ	h O
hồi	h O Y
hồn	h O NM
hồng	h o NGM
hổ	h O
hổi	h O Y
hổm	h O M
hổn	h O NM
hổng	h o NGM
hỗ	h O
hỗn	h O NM
hộ	h O
hộc	h o KP
hội	h O Y
hộp	h O P
hột	h O TP
hớ	h oe
hớn	h oe NG
hớp	h oe P
hớt	h oe K
hờ	h oe
hời	h oe Y
hờn	h oe NG
hở	h oe
hởi	h oe Y
hỡi	h oe Y
hợi	h oe Y
hợm	h oe M
hợp	h oe P
hụ	h u
hục	h u KP
hụi	h u Y
hụp	h U P
hụt	h u KP
hủ	h u
hủy	h u Y
hứa	h Ua
hức	h U K
hứng	h U NG
hừng	h U NG
hử	h U
hửi	h U Y
hửng	h U NG
hững	h U NG
hữu	h U W
hực	h U K
i	i
im	i M
in	U n
inh	U n
iu	i W
ke	k e
kem	k e M
ken	k e NG
keng	k e NG
keo	k e W
kha	kh a
khai	kh ae Y
khan	kh ae NG
khang	kh ae NG
khanh	kh ae n
khao	kh ae W
khay	kh ae Y
khe	kh e
khen	kh e NG
khi	kh i
khinh	kh U n
khiêm	kh i M
khiên	kh i NG
khiêng	kh i NG
khiêu	kh i W
khiếm	kh i M
khiến	kh i NG
khiếp	kh i P
khiết	kh i K
khiếu	kh i W
khiển	kh i NG
khiễng	kh i NG
kho	kh o
khoa	kh w a
khoai	kh w ae Y
khoan	kh w ae NG
khoang	kh w ae NG
khoanh	kh w ae n
khoe	kh w e
khoeo	kh w e W
khom	kh o M
khoá	kh w a
khoác	kh w ae K
khoái	kh w ae Y
khoán	kh w ae NG
khoáng	kh w ae NG
khoát	kh w ae K
khoé	kh w e
khoét	kh w e K
khoăn	kh w ae NG
khoả	kh w a
khoải	kh w ae Y
khoản	kh w ae NG
khoảng	kh w ae NG
khoảnh	kh w ae n
khoắn	kh w ae NG
khoằm	kh w ae M
khoẻ	kh w e
khu	kh u
khua	kh ua
khui	kh u Y
khum	kh U M
khung	kh u NGM
khuy	kh w i
khuya	kh w ia
khuynh	kh w U n
khuyên	kh w i NG
khuyến	kh w i NG
khuyết	kh w i K
khuân	kh w A NG
khuâng	kh w A NG
khuây	kh w A Y
khuê	kh w E
khuôn	kh u NG
khuất	kh w A K
khuấy	kh w A Y
khuẩn	kh w A NG
khuếch	kh w oe t
khuỷu	kh w i W
khàn	kh ae NG
khàng	kh ae NG
khá	kh a
khác	kh ae K
khách	kh ae t
khái	kh ae Y
khám	kh ae M
khán	kh ae NG
kháng	kh ae NG
khánh	kh ae n
khát	kh ae K
kháy	kh ae Y
khâm	kh A M
khâu	kh A W
khé	kh e
khéo	kh e W
khép	kh e P
khét	kh e K
khê	kh E
khêu	kh E W
khí	kh i
khía	kh ia
khích	kh U t
khít	kh U t
khó	kh o
khóa	kh w a
khóc	kh o KP
khóe	kh w e
khói	kh o Y
khóm	kh o M
khô	kh O
khôi	kh O Y
khôn	kh O NM
không	kh o NGM
khùng	kh u NGM
khúc	kh u KP
khăm	kh ae M
khăn	kh ae NG
khăng	kh ae NG
khơi	kh oe Y
khương	kh U NG
khạc	kh ae K
khạo	kh ae W
khả	kh a
khải	kh ae Y
khảnh	kh ae n
khảo	kh ae W
khảy	kh ae Y
khấn	kh A NG
khất	kh A K
khấu	kh A W
khẩn	kh A NG
khẩu	kh A W
khập	kh A P
khắc	kh ae K
khắm	kh ae M
khắng	kh ae NG
khắp	kh ae P
khắt	kh ae K
khẳm	kh ae M
khẳn	kh ae NG
khẳng	kh ae NG
khẹc	kh e K
khẽ	kh e
khế	kh E
khều	kh E W
khểnh	kh oe n
khỉ	kh i
khịt	kh U t
khỏ	kh o
khỏa	kh w a
khỏe	kh w e
khỏi	kh o Y
khố	kh O
khốc	kh o KP
khối	kh O Y
khốn	kh O NM
khống	kh o NGM
khổ	kh O
khổng	kh o NGM
khớp	kh oe P
khờ	kh oe
khởi	kh oe Y
khủng	kh u NGM
khứ	kh U
khứa	kh Ua
khứng	kh U NG
