a	a
hăng	h 4 NG
hơi	h 2 Y
hơn	h 2 NG
hư	h U
hưng	h U NG
hưu	h U W
hương	h U NG
hước	h U
hước	h U K
hướng	h U NG
hường	h U NG
hưởng	h U NG
hạ	h a
hạc	h a K
hạch	h 4 T
hại	h a Y
hạm	h a M
hạn	h a NG
hạng	h a NG
hạnh	h 4 N
hạo	h a W
hạp	h a
hạp	h a P
hạt	h a
hạt	h a K
hả	h a
hải	h a Y
hảo	h a W
hấp	h A P
hất	h A K
hấu	h A W
hầm	h A M
hầu	h A W
hẫng	h A NG
hận	h A NG
hậu	h A W
hắc	h 4 K
hắn	h 4 NG
hắt	h a
hắt	h 4 K
hằng	h 4 NG
hẳn	h 4 NG
hẹn	h e NG
hẹp	h e
hẹp	h e P
hẻm	h e M
hến	h 2 N
hết	h 2
hết	h 2 T
hề	h E
hển	h 2 N
hễ	h E
hệ	h E
hệt	h 2 T
hỉnh	h U N
họ	h o
họa	h w a
học	h o KP
họng	h o NGM
họp	h o
họp	h o P
hỏa	h w a
hỏi	h o Y
hỏng	h o NGM
hố	h O
hốc	h o KP
hối	h O Y
hốt	h O K
hồ	h O
hồi	h O Y
hồn	h O NM
hồng	h o NGM
hổ	h O
hổi	h O Y
hổn	h O NM
hổng	h o NGM
hỗ	h O
hỗn	h O NM
hộ	h O
hộc	h o KP
hội	h O Y
hộp	h O
hộp	h O P
hột	h O K
hớ	h 2
hớn	h 2 NG
hớp	h 2 P
hớt	h 2 K
hờn	h 2 NG
hở	h 2
hởi	h 2 Y
hợi	h 2 Y
hợp	h 2
hợp	h 2 P
hục	h u KP
hụi	h u Y
hụt	h u KP
hủ	h u
hủy	h u Y
hứa	h U 3
hức	h U K
hứng	h U NG
hừng	h U NG
hữu	h U W
hực	h U K
i	i
im	i M
in	U N
inh	U N
k	k a
kem	k e M
ken	k e NG
keo	k e W
kha	kh a
khai	kh a Y
khan	kh a NG
khang	kh a NG
khanh	kh 4 N
khao	kh a W
khe	kh e
khen	kh e NG
khi	kh i
khinh	kh U N
khiêm	kh i M
khiên	kh i NG
khiêu	kh i W
khiếm	kh i M
khiến	kh i NG
khiếp	kh i P
khiết	kh i K
khiếu	kh i W
khiển	kh i NG
kho	kh o
khoa	kh w a
khoai	kh w a Y
khoan	kh w a NG
khoang	kh w a NG
khoanh	kh w 4 N
khoe	kh w e
khoá	kh w a
khoác	kh w a K
khoái	kh w a Y
khoán	kh w a NG
khoáng	kh w a NG
khoát	kh w a
khoát	kh w a K
khoét	kh w e
khoét	kh w e K
khoăn	kh w 4 NG
khoải	kh w a Y
khoản	kh w a NG
khoảng	kh w a NG
khoảnh	kh w 4 N
khoắn	kh w 4 NG
khoẻ	kh w e
khu	kh u
khum	kh U M
khung	kh u NGM
khuya	kh w i 3
khuynh	kh w U N
khuyên	kh w i NG
khuyến	kh w i NG
khuyết	kh w i
khuyết	kh w i K
khuân	kh w A NG
khuâng	kh w A NG
khuê	kh w E
khuôn	kh u NG
khuất	kh w A K
khuẩn	kh w A NG
khàng	kh a NG
khá	kh a
khác	kh a
khác	kh a K
khách	kh a
khách	kh 4 T
khái	kh a Y
khám	kh a M
khán	kh a NG
kháng	kh a NG
khánh	kh 4 N
khát	kh a
khát	kh a K
khâu	kh A W
khéo	kh e W
khép	kh e P
khét	kh e K
khê	kh E
khí	kh i
khía	kh i 3
khích	kh U T
khít	kh U T
khó	kh o
khóa	kh w a
khóc	kh o KP
khóe	kh w e
khói	kh o Y
khô	kh O
khôi	kh O Y
khôn	kh O NM
không	kh o NGM
khú	kh u
khúc	kh u KP
khăn	kh 4 NG
khơi	kh 2 Y
khương	kh U NG
khả	kh a
khải	kh a Y
khảo	kh a W
khất	kh A K
khấu	kh A W
khần	kh A NG
khẩn	kh A NG
khẩu	kh A W
khắc	kh a
khắc	kh 4 K
khắng	kh 4 NG
khắp	kh a
khắp	kh 4 P
khắt	kh a
khắt	kh 4 K
khẳm	kh 4 M
khẳng	kh 4 NG
khẽ	kh e
khế	kh E
khỉ	kh i
khỏa	kh w a
khỏe	kh w e
khỏi	kh o Y
khốc	kh o KP
khối	kh O Y
khốn	kh O NM
khống	kh o NGM
khổ	kh O
khổng	kh o NGM
khớp	kh 2
khớp	kh 2 P
khờ	kh 2
khởi	kh 2 Y
khủng	kh u NGM
khứ	kh U
khựng	kh U NG
ki	k i
kia	k i 3
kim	k i M
kinh	k U N
kiêm	k i M
kiên	k i NG
kiêng	k i NG
kiêu	k i W
kiếm	k i M
kiến	k i NG
kiếp	k i P
kiềm	k i M
kiều	k i W
kiểm	k i M
kiểng	k i NG
kiểu	k i W
kiệm	k i M
kiện	k i NG
kiệt	k i
kiệt	k i K
kiệu	k i W
kong	k o NGM
kè	k e
kèm	k e M
kèn	k e NG
kèo	k e W
ké	k e
kém	k e M
kén	k e NG
kéo	k e W
kép	k e P
két	k e
két	k e K
kê	k E
kênh	k 2 N
kêu	k E W
kì	k i
kìa	k i 3
kìm	k i M
kí	k i
kích	k U
kích	k U T
kín	k U N
kính	k U N
kíp	k i P
kông	k o NGM
ký	k i
kĩ	k i
kẹo	k e W
kẹp	k e
kẹp	k e P
kẹt	k e
kẹt	k e K
kẻ	k e
kẻng	k e NG
kẻo	k e W
kẽ	k e
kẽm	k e M
kế	k E
kết	k 2
kết	k 2 T
kề	k E
kền	k 2 N
kềnh	k 2 N
kể	k E
kệ	k E
kỉ	k i
kịch	k U
kịch	k U T
kịp	k i
kịp	k i P
kỳ	k i
kỵ	k i
kỷ	k i
kỹ	k i
la	l a
lai	l a Y
lam	l a M
lan	l a NG
lang	l a NG
lanh	l 4 N
lao	l a W
lau	l 4 W
lay	l 4 Y
le	l e
len	l e NG
leo	l e W
li	l i
lia	l i 3
lim	l i M
linh	l U N
liêm	l i M
liên	l i NG
liêng	l i NG
liêu	l i W
liếc	l i
liếc	l i K
liềm	l i M
liền	l i NG
liều	l i W
liễu	l i W
liệt	l i
liệt	l i K
liệu	l i W
lo	l o
loa	l w a
loan	l w a NG
loay	l w 4 Y
loi	l o Y
long	l o NGM
loài	l w a Y
loãng	l w a NG
loại	l w a Y
loạn	l w a NG
loạt	l w a
loạt	l w a K
loẹt	l w e
loẹt	l w e K
lu	l u
lui	l u Y
lung	l u NGM
luyến	l w i NG
luyện	l w i NG
luân	l w A NG
luôn	l u NG
luẩn	l w A NG
luận	l w A NG
luật	l w A K
luồng	l u NG
luộc	l u
luộc	l u K
ly	l i
là	l a
làm	l a M
làn	l a NG
làng	l a NG
lành	l 4 N
lào	l a W
lá	l a
lác	l a K
lách	l 4 T
lái	l a Y
láng	l a NG
lánh	l 4 N
láo	l a W
lát	l a K
lâm	l A M
lân	l A NG
lâng	l A NG
lâu	l A W
lây	l A Y
lãi	l a Y
lãm	l a M
lãng	l a NG
lãnh	l 4 N
lão	l a W
lè	l e
lèo	l e W
lén	l e NG
léo	l e W
lép	l e P
lét	l e K
lê	l E
lên	l 2 N
lênh	l 2 N
lêu	l E W
lì	l i
lìa	l i 3
lí	l i
lính	l U N
líp	l i P
lít	l U T
líu	l i W
lò	l o
lòi	l o Y
lòng	l o NGM
lóc	l o KP
lóng	l o NGM
lót	l o
lót	l o K
lô	l O
lôi	l O Y
lông	l o NGM
lõng	l o NGM
lù	l u
lùa	l u 3
lùi	l u Y
lùm	l U M
lùng	l u NGM
lúa	l u 3
lúc	l u KP
lún	l u NGM
lúng	l u NGM
lý	l i
lăk	l a
lăk	l 4 K
lăm	l 4 M
lăn	l 4 NG
lăng	l 4 NG
lĩnh	l U N
lũ	l u
lũng	l u NGM
lũy	l u Y
lơ	l 2
lư	l U
lưng	l U NG
lưu	l U W
lươn	l U NG
lương	l U NG
lưới	l U Y
lướt	l U
lướt	l U K
lười	l U Y
lường	l U NG
lưỡi	l U Y
lưỡng	l U NG
lược	l U
lược	l U K
lượm	l U M
lượn	l U NG
lượng	l U NG
lượt	l U
lượt	l U K
lạ	l a
lạc	l a
lạc	l a K
lạch	l a
lạch	l 4 T
lại	l a Y
lạm	l a M
lạnh	l 4 N
lạp	l a
lạp	l a P
lạt	l a
lạt	l a K
lạy	l 4 Y
lấm	l A M
lấn	l A NG
lấp	l A P
lất	l A K
lấy	l A Y
lầm	l A M
lần	l A NG
lầu	l A W
lầy	l A Y
lẩm	l A M
lẩn	l A NG
lẩu	l A W
lẫm	l A M
lẫn	l A NG
lận	l A NG
lập	l A P
lật	l A K
lậu	l A W
lắc	l 4 K
lắm	l 4 M
lắng	l 4 NG
lắp	l 4 P
lằn	l 4 NG
lẳng	l 4 NG
lặn	l 4 NG
lặng	l 4 NG
lặp	l 4 P
lặt	l 4 K
lẹ	l e
lẻ	l e
lẽ	l e
lẽn	l e NG
lẽo	l e W
lề	l E
lềnh	l 2 N
lều	l E W
lễ	l E
lệ	l E
lệch	l 2
lệch	l 2 T
lệnh	l 2 N
lỉnh	l U N
lịch	l U
lịch	l U T
lọ	l o
lọc	l o KP
lọng	l o NGM
lọt	l o
lọt	l o K
lỏi	l o Y
lỏng	l o NGM
lố	l O
lốc	l o KP
lối	l O Y
lốp	l O P
lồ	l O
lồng	l o NGM
lỗ	l O
lỗi	l O Y
lộ	l O
lộc	l o KP
lội	l O Y
lộn	l O NM
lộng	l o NGM
lột	l O K
lớn	l 2 NG
lớp	l 2 P
lờ	l 2
lời	l 2 Y
lở	l 2
lởi	l 2 Y
lỡ	l 2
lợi	l 2 Y
lợm	l 2 M
lợn	l 2 NG
lợp	l 2 P
lụa	l u 3
